Nitrogen,Phosphorus,Potassium,pH,Humidity,Temperature,Crop
78.38,48.67,220.95,6.57,62.53,26.47,Eggplant
71.11,54.9,197.95,6.51,70.55,28.25,Chili
46.46,47.59,171.45,6.07,64.5,29.51,Chili
65.47,46.22,214.49,6.22,66.48,26.09,Chili
53.42,43.28,228.58,6.61,72.85,29.08,Chili
66.45,32.66,179.44,6.07,61.61,20.69,Chili
59.02,43.77,220.56,6.34,70.09,29.76,Chili
41.59,43.87,242.6,6.2,61.55,26.2,Chili
71.17,45.2,216.79,5.95,62.32,25.84,Eggplant
42.92,56.47,219.56,6.35,78.02,23.98,Chili
54.79,41.13,206.49,6.55,64.14,28.56,Chili
68.67,55.72,197.32,6.35,77.9,22.02,Chili
59.46,67.26,244.99,5.81,64.65,30.1,Eggplant
49.13,37.61,187.82,6.16,66.03,28.25,Chili
44.23,48.73,202.41,6.4,67.14,22.11,Chili
45.2,45.23,168.27,6.77,68.36,26.49,Chili
97.75,53.19,229.03,6.27,60.98,22.08,Eggplant
56.63,33.47,184.23,6.59,71.68,26.67,Chili
69.07,53.14,160.22,6.5,70.96,24.15,Chili
89.48,51.44,258.9,6.46,67.62,28.97,Eggplant
78.55,46.07,242.59,6.49,69.45,26.58,Eggplant
63.67,69.48,256.13,5.89,68.56,25.84,Eggplant
50.41,46.53,207.69,6.44,62.99,22.56,Eggplant
76.82,68.87,273.7,6.36,62.53,22.7,Eggplant
68.26,40.28,246.83,6.03,64.85,23.88,Eggplant
74.84,57.62,163.96,6.13,70.56,20.76,Chili
71.08,48.18,238.46,6.57,75.99,22.58,Chili
83.68,59.02,296.69,6.33,64.88,30.38,Eggplant
76.98,57.5,273.86,5.6,61.76,23.5,Eggplant
66.67,45.57,229.58,5.95,66.96,29.54,Eggplant
43.06,48.19,211.49,6.22,78.47,25.52,Chili
73.46,44.57,280.49,5.87,65.47,31.94,Eggplant
53.58,56.09,154.62,6.11,76.69,24.89,Chili
71.9,53.15,209.45,6.64,74.29,26.09,Chili
65.78,43.01,207.14,6.08,61.27,29.09,Chili
76.78,52.34,209.34,6.56,65.86,25.71,Chili
63.21,54.92,214.68,6.07,77.55,21.12,Chili
66.02,40.84,294.06,6.47,66.49,24.54,Eggplant
85.71,63.24,234.61,6.32,63.17,22.79,Eggplant
96.92,52.87,208.64,5.99,69.15,28.28,Eggplant
90.04,49.14,211.77,6.29,67.03,30.9,Eggplant
60.75,49.02,209.55,6.68,62.86,31.43,Eggplant
62.09,39.16,161.64,6.55,72.67,27.45,Chili
98.33,45.74,214.95,5.65,66.55,30.92,Eggplant
66.2,43.84,209.63,6.76,65.06,26.54,Chili
78.02,49.03,256.46,5.87,66.84,28.62,Eggplant
70.41,46.41,180.66,6.76,62.3,28.99,Chili
42.73,31.74,170.32,6.52,76.16,28.51,Chili
49.35,48.31,160.91,6.76,61.86,24.77,Chili
90.38,62.61,252.39,5.68,60.75,24.02,Eggplant
66.63,59.59,150.97,6.77,72.04,26.34,Chili
95.66,61.99,225.27,6.13,66.06,30.25,Eggplant
64.25,46.61,241.53,6.69,65.02,28.45,Chili
53.83,58.95,244.55,6.62,60.15,25.42,Eggplant
85.07,41.42,222.93,6.45,63.97,24.45,Eggplant
97.95,42.63,229.32,6.38,68.36,29.7,Eggplant
57.34,53.6,191.43,6.55,76.97,20.82,Chili
