Nitrogen,Potassium,Phosphorous,Temparature,Humidity,Moisture,Crop Type
37,0,0,26,52,38,Maize
12,0,36,29,52,45,Sugarcane
7,9,30,34,65,62,Cotton
22,0,20,32,62,34,Tobacco
35,0,0,28,54,46,Paddy
12,10,13,26,52,35,Barley
9,0,10,25,50,64,Cotton
41,0,0,33,64,50,Wheat
21,0,18,30,60,42,Millets
9,7,30,29,58,33,Oil seeds
13,0,40,27,54,28,Pulses
14,15,12,31,62,48,Maize
36,0,0,25,50,65,Cotton
24,0,22,32,62,41,Paddy
14,0,41,26,52,31,Ground Nuts
10,13,14,31,62,49,Sugarcane
38,0,0,33,64,34,Pulses
21,0,19,25,50,39,Barley
39,0,0,28,54,65,Cotton
13,0,36,29,58,52,Wheat
10,0,9,30,60,44,Millets
12,14,12,34,65,53,Sugarcane
11,0,37,35,68,33,Tobacco
36,0,0,28,54,37,Millets
13,0,10,33,64,39,Paddy
23,0,20,26,52,44,Maize
9,9,29,30,60,63,Cotton
38,0,0,32,62,30,Sugarcane
12,0,39,37,70,32,Oil seeds
14,0,13,26,52,36,Pulses
24,0,23,29,58,40,Ground Nuts
12,0,40,30,60,27,Sugarcane
39,0,0,34,65,38,Paddy
7,9,30,36,68,38,Barley
23,0,19,26,52,48,Wheat
41,0,0,28,54,35,Millets
8,10,31,30,60,61,Cotton
12,0,41,37,70,37,Paddy
15,14,11,25,50,26,Ground Nuts
15,0,37,29,58,34,Millets
13,0,13,27,54,30,Pulses
10,7,32,30,60,58,Sugarcane
22,0,24,32,62,34,Tobacco
35,0,0,34,65,60,Sugarcane
10,0,35,35,67,42,Barley
8,8,28,38,70,48,Wheat
12,0,8,26,52,32,Oil seeds
24,0,18,29,58,43,Paddy
41,0,0,30,60,29,Ground Nuts
5,9,29,33,64,51,Maize
23,0,21,34,65,31,Tobacco
13,0,14,36,68,33,Oil seeds
40,0,0,28,54,38,Pulses
12,0,42,30,60,47,Barley
11,12,15,31,62,63,Cotton
23,0,24,27,53,43,Millets
38,0,0,34,65,54,Wheat
8,0,15,29,58,37,Millets
11,13,15,25,50,56,Sugarcane
15,0,37,32,62,34,Ground Nuts
36,0,0,28,54,41,Paddy
13,0,9,30,60,49,Wheat
24,0,20,34,65,64,Cotton
5,18,15,28,54,47,Barley
37,0,0,27,53,35,Oil seeds
15,0,40,36,68,62,Cotton
9,0,13,34,65,57,Sugarcane
8,8,33,29,58,55,Sugarcane
6,19,16,25,50,40,Pulses
10,0,14,30,60,38,Millets
21,0,23,26,52,39,Pulses
39,0,0,31,62,32,Tobacco
23,0,19,34,65,48,Wheat
42,0,0,27,53,34,Oil seeds
13,0,39,33,64,31,Ground Nuts
9,10,22,29,58,42,Paddy
22,0,21,30,60,47,Maize
10,0,15,27,53,59,Sugarcane
7,16,20,26,52,36,Pulses
14,0,38,34,65,63,Cotton
10,8,29,28,54,43,Paddy
41,0,0,30,60,40,Millets
14,0,35,29,58,65,Cotton
11,0,9,26,52,59,Sugarcane
21,0,28,31,62,44,Barley
8,7,31,35,67,28,Pulses
13,17,16,29,58,30,Tobacco
35,0,0,27,53,30,Millets
12,18,19,36,68,50,Wheat
11,0,38,29,58,61,Cotton
8,9,30,30,60,26,Oil seeds
6,19,21,34,65,45,Paddy
