nitrogen,potassium,phosphorus,temperature,humidity,moisture,crop,soil_type,fertilizer_name,ph,organic_carbon,region,date,ec,nitrogen_is_zero,nitrogen_was_missing,phosphorus_is_zero,phosphorus_was_missing,potassium_is_zero,potassium_was_missing
37,0,0,26.0,52.0,38.0,Maize,Sandy,Urea,,,,,,0,0,1,0,1,0
12,0,36,29.0,52.0,45.0,Sugarcane,Loamy,DAP,,,,,,0,0,0,0,1,0
35,0,0,28.0,54.0,46.0,Paddy,Clayey,Urea,,,,,,0,0,1,0,1,0
12,10,13,26.0,52.0,35.0,Barley,Sandy,17-17-17,,,,,,0,0,0,0,0,0
41,0,0,33.0,64.0,50.0,Wheat,Loamy,Urea,,,,,,0,0,1,0,1,0
21,0,18,30.0,60.0,42.0,Millets,Sandy,28-28,,,,,,0,0,0,0,1,0
14,15,12,31.0,62.0,48.0,Maize,Sandy,17-17-17,,,,,,0,0,0,0,0,0
24,0,22,32.0,62.0,41.0,Paddy,Clayey,28-28,,,,,,0,0,0,0,1,0
14,0,41,26.0,52.0,31.0,Ground Nuts,Red,DAP,,,,,,0,0,0,0,1,0
10,13,14,31.0,62.0,49.0,Sugarcane,Black,17-17-17,,,,,,0,0,0,0,0,0
21,0,19,25.0,50.0,39.0,Barley,Sandy,28-28,,,,,,0,0,0,0,1,0
13,0,36,29.0,58.0,52.0,Wheat,Loamy,DAP,,,,,,0,0,0,0,1,0
10,0,9,30.0,60.0,44.0,Millets,Sandy,20-20,,,,,,0,0,0,0,1,0
12,14,12,34.0,65.0,53.0,Sugarcane,Loamy,17-17-17,,,,,,0,0,0,0,0,0
36,0,0,28.0,54.0,37.0,Millets,Black,Urea,,,,,,0,0,1,0,1,0
13,0,10,33.0,64.0,39.0,Paddy,Clayey,20-20,,,,,,0,0,0,0,1,0
23,0,20,26.0,52.0,44.0,Maize,Sandy,28-28,,,,,,0,0,0,0,1,0
38,0,0,32.0,62.0,30.0,Sugarcane,Loamy,Urea,,,,,,0,0,1,0,1,0
24,0,23,29.0,58.0,40.0,Ground Nuts,Red,28-28,,,,,,0,0,0,0,1,0
12,0,40,30.0,60.0,27.0,Sugarcane,Loamy,DAP,,,,,,0,0,0,0,1,0
39,0,0,34.0,65.0,38.0,Paddy,Clayey,Urea,,,,,,0,0,1,0,1,0
7,9,30,36.0,68.0,38.0,Barley,Sandy,14-35-14,,,,,,0,0,0,0,0,0
23,0,19,26.0,52.0,48.0,Wheat,Loamy,28-28,,,,,,0,0,0,0,1,0
41,0,0,28.0,54.0,35.0,Millets,Black,Urea,,,,,,0,0,1,0,1,0
12,0,41,37.0,70.0,37.0,Paddy,Clayey,DAP,,,,,,0,0,0,0,1,0
15,14,11,25.0,50.0,26.0,Ground Nuts,Red,17-17-17,,,,,,0,0,0,0,0,0
15,0,37,29.0,58.0,34.0,Millets,Sandy,DAP,,,,,,0,0,0,0,1,0
10,7,32,30.0,60.0,58.0,Sugarcane,Loamy,14-35-14,,,,,,0,0,0,0,0,0
35,0,0,34.0,65.0,60.0,Sugarcane,Black,Urea,,,,,,0,0,1,0,1,0
10,0,35,35.0,67.0,42.0,Barley,Sandy,DAP,,,,,,0,0,0,0,1,0
8,8,28,38.0,70.0,48.0,Wheat,Loamy,14-35-14,,,,,,0,0,0,0,0,0
24,0,18,29.0,58.0,43.0,Paddy,Clayey,28-28,,,,,,0,0,0,0,1,0
41,0,0,30.0,60.0,29.0,Ground Nuts,Red,Urea,,,,,,0,0,1,0,1,0
5,9,29,33.0,64.0,51.0,Maize,Sandy,14-35-14,,,,,,0,0,0,0,0,0
12,0,42,30.0,60.0,47.0,Barley,Sandy,DAP,,,,,,0,0,0,0,1,0
23,0,24,27.0,53.0,43.0,Millets,Black,28-28,,,,,,0,0,0,0,1,0
38,0,0,34.0,65.0,54.0,Wheat,Loamy,Urea,,,,,,0,0,1,0,1,0
8,0,15,29.0,58.0,37.0,Millets,Sandy,20-20,,,,,,0,0,0,0,1,0
11,13,15,25.0,50.0,56.0,Sugarcane,Loamy,17-17-17,,,,,,0,0,0,0,0,0
15,0,37,32.0,62.0,34.0,Ground Nuts,Red,DAP,,,,,,0,0,0,0,1,0
36,0,0,28.0,54.0,41.0,Paddy,Clayey,Urea,,,,,,0,0,1,0,1,0
13,0,9,30.0,60.0,49.0,Wheat,Loamy,20-20,,,,,,0,0,0,0,1,0
5,18,15,28.0,54.0,47.0,Barley,Sandy,10-26-26,,,,,,0,0,0,0,0,0
9,0,13,34.0,65.0,57.0,Sugarcane,Black,20-20,,,,,,0,0,0,0,1,0
8,8,33,29.0,58.0,55.0,Sugarcane,Loamy,14-35-14,,,,,,0,0,0,0,0,0
10,0,14,30.0,60.0,38.0,Millets,Sandy,20-20,,,,,,0,0,0,0,1,0
23,0,19,34.0,65.0,48.0,Wheat,Loamy,28-28,,,,,,0,0,0,0,1,0
13,0,39,33.0,64.0,31.0,Ground Nuts,Red,DAP,,,,,,0,0,0,0,1,0
9,10,22,29.0,58.0,42.0,Paddy,Clayey,14-35-14,,,,,,0,0,0,0,0,0
22,0,21,30.0,60.0,47.0,Maize,Sandy,28-28,,,,,,0,0,0,0,1,0
10,0,15,27.0,53.0,59.0,Sugarcane,Loamy,20-20,,,,,,0,0,0,0,1,0
10,8,29,28.0,54.0,43.0,Paddy,Clayey,14-35-14,,,,,,0,0,0,0,0,0
41,0,0,30.0,60.0,40.0,Millets,Sandy,Urea,,,,,,0,0,1,0,1,0
11,0,9,26.0,52.0,59.0,Sugarcane,Loamy,20-20,,,,,,0,0,0,0,1,0
21,0,28,31.0,62.0,44.0,Barley,Sandy,28-28,,,,,,0,0,0,0,1,0
35,0,0,27.0,53.0,30.0,Millets,Black,Urea,,,,,,0,0,1,0,1,0
12,18,19,36.0,68.0,50.0,Wheat,Loamy,10-26-26,,,,,,0,0,0,0,0,0
6,19,21,34.0,65.0,45.0,Paddy,Clayey,10-26-26,,,,,,0,0,0,0,0,0
41,0,0,36.0,68.0,41.0,Ground Nuts,Red,Urea,,,,,,0,0,1,0,1,0
9,10,30,28.0,54.0,25.0,Maize,Sandy,14-35-14,,,,,,0,0,0,0,0,0
39,0,0,38.0,72.0,51.0,Wheat,Loamy,Urea,,,,,,0,0,1,0,1,0
15,0,41,36.0,60.0,43.0,Millets,Sandy,DAP,,,,,,0,0,0,0,1,0
12,0,10,29.0,58.0,57.0,Sugarcane,Black,20-20,,,,,,0,0,0,0,1,0
9,12,14,27.45,66.38,50.14,Millets,Black,28-28,,,,,,0,0,0,0,0,0
28,0,22,27.25,63.62,40.35,Wheat,Black,Urea,,,,,,0,0,0,0,1,0
8,9,28,28.84,58.91,33.06,Millets,Clayey,17-17-17,,,,,,0,0,0,0,0,0
40,2,0,25.86,48.46,46.25,Ground Nuts,Red,28-28,,,,,,0,0,1,0,0,0
9,14,11,36.05,73.59,58.17,Millets,Red,17-17-17,,,,,,0,0,0,0,0,0
5,8,30,26.76,64.22,53.63,Ground Nuts,Sandy,28-28,,,,,,0,0,0,0,0,0
40,0,0,28.27,52.88,43.3,Wheat,Black,10-26-26,,,,,,0,0,1,0,1,0
19,4,28,30.63,63.88,38.71,Paddy,Loamy,DAP,,,,,,0,0,0,0,0,0
11,5,12,26.02,52.46,31.12,Barley,Loamy,10-26-26,,,,,,0,0,0,0,0,0
37,2,4,30.63,61.45,23.18,Maize,Black,17-17-17,,,,,,0,0,0,0,0,0
12,13,13,23.63,52.62,31.03,Sugarcane,Clayey,14-35-14,,,,,,0,0,0,0,0,0
12,0,36,31.19,60.94,30.51,Paddy,Black,Urea,,,,,,0,0,0,0,1,0
10,3,31,29.44,59.34,55.51,Sugarcane,Loamy,17-17-17,,,,,,0,0,0,0,0,0
11,1,36,38.42,73.97,50.41,Sugarcane,Loamy,DAP,,,,,,0,0,0,0,0,0
34,0,3,29.04,71.09,21.12,Maize,Sandy,14-35-14,,,,,,0,0,0,0,1,0
39,0,0,23.59,55.82,62.92,Sugarcane,Red,Urea,,,,,,0,0,1,0,1,0
38,4,0,25.83,51.1,59.57,Maize,Sandy,Urea,,,,,,0,0,1,0,0,0
14,0,35,34.51,63.92,70.0,Sugarcane,Loamy,17-17-17,,,,,,0,0,0,0,1,0
13,16,11,28.43,58.72,43.9,Sugarcane,Sandy,20-20,,,,,,0,0,0,0,0,0
8,9,18,24.53,67.4,48.49,Paddy,Red,20-20,,,,,,0,0,0,0,0,0
15,4,33,30.82,51.91,54.23,Wheat,Red,14-35-14,,,,,,0,0,0,0,0,0
35,0,0,29.25,54.52,41.4,Paddy,Clayey,28-28,,,,,,0,0,1,0,1,0
41,3,4,30.76,66.64,56.32,Ground Nuts,Red,28-28,,,,,,0,0,0,0,0,0
7,11,20,27.84,66.53,36.89,Sugarcane,Loamy,Urea,,,,,,0,0,0,0,0,0
7,11,31,29.21,64.21,54.95,Wheat,Red,14-35-14,,,,,,0,0,0,0,0,0
40,0,0,32.98,62.02,33.12,Wheat,Red,10-26-26,,,,,,0,0,1,0,1,0
38,0,1,24.24,59.04,50.07,Barley,Loamy,Urea,,,,,,0,0,0,0,1,0
21,3,20,33.54,59.28,52.09,Wheat,Clayey,20-20,,,,,,0,0,0,0,0,0
35,4,0,34.43,72.28,62.22,Ground Nuts,Clayey,17-17-17,,,,,,0,0,1,0,0,0
15,0,33,32.19,68.94,67.37,Barley,Sandy,20-20,,,,,,0,0,0,0,1,0
13,0,38,28.38,52.02,43.83,Wheat,Loamy,10-26-26,,,,,,0,0,0,0,1,0
36,0,0,25.4,43.57,38.51,Maize,Red,28-28,,,,,,0,0,1,0,1,0
12,15,15,33.8,52.28,53.31,Millets,Clayey,28-28,,,,,,0,0,0,0,0,0
20,0,20,28.38,47.58,34.86,Paddy,Black,28-28,,,,,,0,0,0,0,1,0
1,14,22,30.08,73.84,41.22,Sugarcane,Sandy,10-26-26,,,,,,0,0,0,0,0,0
31,1,0,34.95,64.93,62.63,Wheat,Clayey,14-35-14,,,,,,0,0,1,0,0,0
11,3,14,23.42,53.65,69.68,Barley,Sandy,20-20,,,,,,0,0,0,0,0,0
17,0,31,31.68,62.14,42.55,Sugarcane,Black,17-17-17,,,,,,0,0,0,0,1,0
19,0,19,31.03,69.0,49.46,Maize,Loamy,20-20,,,,,,0,0,0,0,1,0
5,8,32,31.78,44.27,45.07,Maize,Loamy,DAP,,,,,,0,0,0,0,0,0
39,0,2,22.3,60.64,40.78,Ground Nuts,Sandy,28-28,,,,,,0,0,0,0,1,0
13,0,8,26.67,47.94,34.08,Sugarcane,Black,DAP,,,,,,0,0,0,0,1,0
12,6,30,26.75,56.87,20.0,Barley,Clayey,17-17-17,,,,,,0,0,0,0,0,0
24,0,17,30.64,65.77,32.86,Sugarcane,Clayey,17-17-17,,,,,,0,0,0,0,1,0
8,13,18,28.61,62.22,41.53,Ground Nuts,Loamy,Urea,,,,,,0,0,0,0,0,0
39,2,0,37.09,63.72,47.99,Sugarcane,Red,17-17-17,,,,,,0,0,1,0,0,0
37,3,0,21.78,55.6,33.66,Maize,Loamy,10-26-26,,,,,,0,0,1,0,0,0
2,5,25,30.42,70.37,55.92,Wheat,Red,17-17-17,,,,,,0,0,0,0,0,0
10,0,34,28.09,56.62,36.14,Ground Nuts,Loamy,20-20,,,,,,0,0,0,0,1,0
16,3,22,22.95,55.86,31.58,Paddy,Black,28-28,,,,,,0,0,0,0,0,0
11,11,16,38.4,67.88,62.06,Maize,Clayey,28-28,,,,,,0,0,0,0,0,0
10,4,11,26.47,62.91,46.87,Ground Nuts,Sandy,28-28,,,,,,0,0,0,0,0,0
8,13,32,29.13,56.72,67.72,Ground Nuts,Clayey,17-17-17,,,,,,0,0,0,0,0,0
19,0,20,26.75,58.1,39.27,Maize,Clayey,14-35-14,,,,,,0,0,0,0,1,0
41,0,1,30.42,48.76,42.28,Millets,Red,17-17-17,,,,,,0,0,0,0,1,0
14,13,8,24.9,51.02,31.9,Ground Nuts,Loamy,17-17-17,,,,,,0,0,0,0,0,0
34,1,0,27.31,57.3,22.41,Wheat,Loamy,Urea,,,,,,0,0,1,0,0,0
8,1,9,31.5,74.7,23.25,Ground Nuts,Clayey,DAP,,,,,,0,0,0,0,0,0
19,0,26,27.63,69.25,41.18,Millets,Loamy,DAP,,,,,,0,0,0,0,1,0
