Nitrogen,Potassium,Phosphorous,Temparature,Humidity,Moisture,Crop Type,soil_type,fertilizer_name
37,0,0,26.0,52.0,38.0,Maize,Sandy,Urea
12,0,36,29.0,52.0,45.0,Sugarcane,Loamy,DAP
7,9,30,34.0,65.0,62.0,Cotton,Black,14-35-14
22,0,20,32.0,62.0,34.0,Tobacco,Red,28-28
35,0,0,28.0,54.0,46.0,Paddy,Clayey,Urea
12,10,13,26.0,52.0,35.0,Barley,Sandy,17-17-17
9,0,10,25.0,50.0,64.0,Cotton,Red,20-20
41,0,0,33.0,64.0,50.0,Wheat,Loamy,Urea
21,0,18,30.0,60.0,42.0,Millets,Sandy,28-28
9,7,30,29.0,58.0,33.0,Oil seeds,Black,14-35-14
13,0,40,27.0,54.0,28.0,Pulses,Clayey,DAP
14,15,12,31.0,62.0,48.0,Maize,Sandy,17-17-17
36,0,0,25.0,50.0,65.0,Cotton,Loamy,Urea
24,0,22,32.0,62.0,41.0,Paddy,Clayey,28-28
14,0,41,26.0,52.0,31.0,Ground Nuts,Red,DAP
10,13,14,31.0,62.0,49.0,Sugarcane,Black,17-17-17
38,0,0,33.0,64.0,34.0,Pulses,Clayey,Urea
21,0,19,25.0,50.0,39.0,Barley,Sandy,28-28
39,0,0,28.0,54.0,65.0,Cotton,Black,Urea
13,0,36,29.0,58.0,52.0,Wheat,Loamy,DAP
10,0,9,30.0,60.0,44.0,Millets,Sandy,20-20
12,14,12,34.0,65.0,53.0,Sugarcane,Loamy,17-17-17
11,0,37,35.0,68.0,33.0,Tobacco,Red,DAP
36,0,0,28.0,54.0,37.0,Millets,Black,Urea
13,0,10,33.0,64.0,39.0,Paddy,Clayey,20-20
23,0,20,26.0,52.0,44.0,Maize,Sandy,28-28
9,9,29,30.0,60.0,63.0,Cotton,Red,14-35-14
38,0,0,32.0,62.0,30.0,Sugarcane,Loamy,Urea
12,0,39,37.0,70.0,32.0,Oil seeds,Black,DAP
14,0,13,26.0,52.0,36.0,Pulses,Clayey,20-20
24,0,23,29.0,58.0,40.0,Ground Nuts,Red,28-28
12,0,40,30.0,60.0,27.0,Sugarcane,Loamy,DAP
39,0,0,34.0,65.0,38.0,Paddy,Clayey,Urea
7,9,30,36.0,68.0,38.0,Barley,Sandy,14-35-14
23,0,19,26.0,52.0,48.0,Wheat,Loamy,28-28
41,0,0,28.0,54.0,35.0,Millets,Black,Urea
8,10,31,30.0,60.0,61.0,Cotton,Loamy,14-35-14
12,0,41,37.0,70.0,37.0,Paddy,Clayey,DAP
15,14,11,25.0,50.0,26.0,Ground Nuts,Red,17-17-17
15,0,37,29.0,58.0,34.0,Millets,Sandy,DAP
13,0,13,27.0,54.0,30.0,Pulses,Clayey,20-20
10,7,32,30.0,60.0,58.0,Sugarcane,Loamy,14-35-14
22,0,24,32.0,62.0,34.0,Tobacco,Red,28-28
35,0,0,34.0,65.0,60.0,Sugarcane,Black,Urea
10,0,35,35.0,67.0,42.0,Barley,Sandy,DAP
8,8,28,38.0,70.0,48.0,Wheat,Loamy,14-35-14
12,0,8,26.0,52.0,32.0,Oil seeds,Black,20-20
24,0,18,29.0,58.0,43.0,Paddy,Clayey,28-28
41,0,0,30.0,60.0,29.0,Ground Nuts,Red,Urea
5,9,29,33.0,64.0,51.0,Maize,Sandy,14-35-14
23,0,21,34.0,65.0,31.0,Tobacco,Red,28-28
13,0,14,36.0,68.0,33.0,Oil seeds,Black,20-20
40,0,0,28.0,54.0,38.0,Pulses,Clayey,Urea
12,0,42,30.0,60.0,47.0,Barley,Sandy,DAP
11,12,15,31.0,62.0,63.0,Cotton,Red,17-17-17
23,0,24,27.0,53.0,43.0,Millets,Black,28-28
38,0,0,34.0,65.0,54.0,Wheat,Loamy,Urea
8,0,15,29.0,58.0,37.0,Millets,Sandy,20-20
11,13,15,25.0,50.0,56.0,Sugarcane,Loamy,17-17-17
15,0,37,32.0,62.0,34.0,Ground Nuts,Red,DAP
36,0,0,28.0,54.0,41.0,Paddy,Clayey,Urea
13,0,9,30.0,60.0,49.0,Wheat,Loamy,20-20
24,0,20,34.0,65.0,64.0,Cotton,Black,28-28
5,18,15,28.0,54.0,47.0,Barley,Sandy,10-26-26
