,precision,recall,f1-score,support
Barley,0.25,0.009433962264150943,0.01818181818181818,106.0
Cotton,0.16666666666666666,0.009259259259259259,0.017543859649122806,108.0
Ground Nuts,0.09183673469387756,0.08181818181818182,0.08653846153846154,110.0
Maize,0.12534818941504178,0.39823008849557523,0.1906779661016949,113.0
Millets,0.08900523560209424,0.1588785046728972,0.11409395973154363,107.0
Oil seeds,0.0,0.0,0.0,107.0
Paddy,0.0,0.0,0.0,106.0
Pulses,0.09090909090909091,0.07339449541284404,0.08121827411167512,109.0
Sugarcane,0.09848484848484848,0.11304347826086956,0.10526315789473684,115.0
Tobacco,0.0,0.0,0.0,107.0
Wheat,0.09006211180124224,0.25892857142857145,0.1336405529953917,112.0
accuracy,0.1025,0.1025,0.1025,0.1025
macro avg,0.0911193525066238,0.10027150378294086,0.06792345910949497,1200.0
weighted avg,0.09134312619686497,0.1025,0.0691847509757722,1200.0
