,precision,recall,f1-score,support
0,0.07692307692307693,0.07801418439716312,0.07746478873239436,141.0
1,0.1323529411764706,0.125,0.12857142857142856,144.0
2,0.07586206896551724,0.07534246575342465,0.07560137457044673,146.0
3,0.09937888198757763,0.10596026490066225,0.10256410256410256,151.0
4,0.088,0.0763888888888889,0.08178438661710037,144.0
5,0.06923076923076923,0.06338028169014084,0.0661764705882353,142.0
6,0.11564625850340136,0.12056737588652482,0.11805555555555555,141.0
7,0.09523809523809523,0.0958904109589041,0.09556313993174062,146.0
8,0.08125,0.08496732026143791,0.08306709265175719,153.0
9,0.08759124087591241,0.08391608391608392,0.08571428571428572,143.0
10,0.10059171597633136,0.11409395973154363,0.1069182389937107,149.0
accuracy,0.093125,0.093125,0.093125,0.093125
macro avg,0.09291500444337747,0.09304738512588857,0.09286189677188707,1600.0
weighted avg,0.09290354208430934,0.093125,0.09289443062668873,1600.0
