,precision,recall,f1-score,support
0,0.10144927536231885,0.04964539007092199,0.06666666666666667,141.0
1,0.14285714285714285,0.07534246575342465,0.09865470852017937,146.0
2,0.12931034482758622,0.09933774834437085,0.11235955056179775,151.0
3,0.1935483870967742,0.08333333333333333,0.11650485436893204,144.0
4,0.2222222222222222,0.014184397163120567,0.02666666666666667,141.0
5,0.14689265536723164,0.5098039215686274,0.22807017543859648,153.0
6,0.15527950310559005,0.16778523489932887,0.16129032258064516,149.0
accuracy,0.14634146341463414,0.14634146341463414,0.14634146341463414,0.14634146341463414
macro avg,0.15593707583412372,0.14277607016187538,0.11574470640049773,1025.0
weighted avg,0.15561256201110588,0.14634146341463414,0.11730104733124415,1025.0
