,precision,recall,f1-score,support
0,0.14074074074074075,0.1347517730496454,0.13768115942028986,141.0
1,0.15862068965517243,0.15753424657534246,0.15807560137457044,146.0
2,0.12716763005780346,0.1456953642384106,0.13580246913580246,151.0
3,0.09352517985611511,0.09027777777777778,0.09187279151943463,144.0
4,0.13768115942028986,0.1347517730496454,0.13620071684587814,141.0
5,0.16352201257861634,0.16993464052287582,0.16666666666666666,153.0
6,0.1323529411764706,0.12080536912751678,0.12631578947368421,149.0
accuracy,0.13658536585365855,0.13658536585365855,0.13658536585365855,0.13658536585365855
macro avg,0.13623005049788692,0.13625013490588775,0.13608788491947518,1025.0
weighted avg,0.13641512469287007,0.13658536585365855,0.1363446729796104,1025.0
