,precision,recall,f1-score,support
0,0.13761467889908258,0.10638297872340426,0.12,141.0
1,0.17647058823529413,0.18493150684931506,0.1806020066889632,146.0
2,0.14285714285714285,0.152317880794702,0.14743589743589744,151.0
3,0.1386861313868613,0.13194444444444445,0.13523131672597866,144.0
4,0.1796875,0.16312056737588654,0.17100371747211895,141.0
5,0.1830065359477124,0.1830065359477124,0.1830065359477124,153.0
6,0.11956521739130435,0.1476510067114094,0.13213213213213212,149.0
accuracy,0.15317073170731707,0.15317073170731707,0.15317073170731707,0.15317073170731707
macro avg,0.15398397067391395,0.15276498869241056,0.15277308662897182,1025.0
weighted avg,0.1540114751117703,0.15317073170731707,0.15299827799922588,1025.0
