,Barley,Cotton,Ground Nuts,Maize,Millets,Oil seeds,Paddy,Pulses,Sugarcane,Tobacco,Wheat
Barley,15,16,16,15,11,14,11,8,15,7,13
Cotton,11,23,10,12,12,7,17,9,14,13,16
Ground Nuts,12,19,12,13,13,11,14,17,12,11,12
Maize,12,8,18,19,12,19,9,15,16,17,6
Millets,15,13,12,18,17,8,14,11,12,13,11
Oil seeds,15,9,16,12,13,14,12,10,11,15,15
Paddy,17,8,14,15,13,8,10,15,11,12,18
Pulses,13,13,13,14,20,13,11,11,13,14,11
Sugarcane,14,19,15,17,14,8,15,12,11,9,19
Tobacco,8,11,14,16,9,10,17,13,13,12,20
Wheat,14,16,18,14,11,11,14,13,16,14,8
