,Nitrogen,Nitrogen,Nitrogen,Phosphorous,Phosphorous,Phosphorous,Potassium,Potassium,Potassium,Temparature,Temparature,Temparature,Humidity,Humidity,Humidity,Moisture,Moisture,Moisture
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
crop,,,,,,,,,,,,,,,,,,
Barley,17.870554765291608,11.524730035812112,703,19.028449502133714,13.257445954389453,703,3.9601706970128023,5.5586595746742145,703,30.19800853485064,4.379935411059763,703,59.23093883357041,8.14143943994998,703,43.483513513513515,12.043757614079485,703
Cotton,17.984764542936286,11.403021256338157,722,19.0,13.019456260976648,722,3.8781163434903045,5.2590684163456745,722,30.348905817174515,4.599281291558963,722,58.66772853185596,8.055912041955803,722,43.64898891966759,12.758184882677103,722
Ground Nuts,18.314207650273225,12.056282299008053,732,18.4672131147541,13.233471900554111,732,4.248633879781421,5.6882951116777765,732,30.471188524590165,4.476588448753411,732,59.42953551912568,8.681612614899375,732,42.85225409836065,12.581665486063361,732
Maize,18.90305444887118,11.708784832495642,753,17.784860557768923,12.891380687281442,753,4.138114209827357,5.516131580127432,753,30.324156706507303,4.448308292101689,753,59.00594953519257,8.104950446289706,753,44.52634794156706,12.929467593696018,753
Millets,19.171309192200557,12.122683474772037,718,17.83426183844011,13.22518608352628,718,3.479108635097493,5.171424897121113,718,30.28771587743733,4.410623483985925,718,58.766392757660164,8.182249519099658,718,43.79281337047354,12.710698429137308,718
Oil seeds,18.41209563994374,12.052599274184779,711,17.749648382559776,12.978391435088868,711,4.272855133614628,5.665942993513503,711,30.33410689170183,4.475692850270953,711,58.972925457102676,8.163890738675223,711,43.85976090014065,12.688233090420237,711
Paddy,18.518413597733712,12.040373019317016,706,18.745042492917847,13.484328053256382,706,3.8626062322946177,5.635710959640638,706,30.328923512747878,4.543571061232303,706,59.356572237960336,7.943920384209601,706,42.95168555240793,12.560822616949,706
Pulses,18.08653846153846,11.642871736780576,728,18.906593406593405,13.333704918967236,728,3.927197802197802,5.584063278728849,728,30.198104395604396,4.535248558006135,728,59.09331043956044,7.972969423813706,728,43.01611263736264,12.279928149181327,728
Sugarcane,18.764089121887288,12.045165225283656,763,18.466579292267365,13.49199713079445,763,3.657929226736566,5.314976552983474,763,30.48503276539974,4.509072638065998,763,59.36010484927916,8.319623025448939,763,43.54893840104849,12.953453761722892,763
Tobacco,18.605299860529986,11.961372878812517,717,18.708507670850768,13.448540351068308,717,3.8354253835425385,5.478574340922971,717,30.138661087866108,4.531899091771008,717,59.266708507670856,8.347850527212982,717,44.25958158995816,12.462227604397,717
Wheat,18.06024096385542,11.79927572847832,747,18.9665327978581,13.302329177812735,747,3.825970548862115,5.539206611164543,747,30.590334672021417,4.356555692492123,747,60.132289156626506,7.959758219880636,747,43.424524765729586,12.494058507855241,747
