,precision,recall,f1-score,support
Barley,0.10273972602739725,0.10638297872340426,0.10452961672473868,141
Cotton,0.14838709677419354,0.1597222222222222,0.15384615384615385,144
Ground Nuts,0.0759493670886076,0.0821917808219178,0.07894736842105263,146
Maize,0.11515151515151516,0.12582781456953643,0.12025316455696203,151
Millets,0.11724137931034483,0.11805555555555555,0.11764705882352941,144
Oil seeds,0.11382113821138211,0.09859154929577464,0.10566037735849057,142
Paddy,0.06944444444444445,0.07092198581560284,0.07017543859649122,141
Pulses,0.08208955223880597,0.07534246575342465,0.07857142857142857,146
Sugarcane,0.0763888888888889,0.0718954248366013,0.07407407407407407,153
Tobacco,0.08759124087591241,0.08391608391608392,0.08571428571428572,143
Wheat,0.053691275167785234,0.053691275167785234,0.053691275167785234,149
