,precision,recall,f1-score,support
0,0.07377049180327869,0.06382978723404255,0.06844106463878327,141.0
1,0.12751677852348994,0.13194444444444445,0.1296928327645051,144.0
2,0.07428571428571429,0.08904109589041095,0.08099688473520249,146.0
3,0.08875739644970414,0.09933774834437085,0.09375,151.0
4,0.10606060606060606,0.09722222222222222,0.10144927536231885,144.0
5,0.10714285714285714,0.08450704225352113,0.09448818897637795,142.0
6,0.0738255033557047,0.07801418439716312,0.07586206896551724,141.0
7,0.08904109589041095,0.08904109589041095,0.08904109589041095,146.0
8,0.07432432432432433,0.0718954248366013,0.07308970099667775,153.0
9,0.09701492537313433,0.09090909090909091,0.09386281588447654,143.0
10,0.04878048780487805,0.053691275167785234,0.051118210862619806,149.0
accuracy,0.08625,0.08625,0.08625,0.08625
macro avg,0.08732001645582751,0.08631212832636943,0.0865265580978991,1600.0
weighted avg,0.08713849637146157,0.08625,0.08640752734809778,1600.0
