,precision,recall,f1-score,support
0,0.1386861313868613,0.1347517730496454,0.1366906474820144,141.0
1,0.08536585365853659,0.09722222222222222,0.09090909090909091,144.0
2,0.07194244604316546,0.0684931506849315,0.07017543859649122,146.0
3,0.10828025477707007,0.11258278145695365,0.11038961038961038,151.0
4,0.1044776119402985,0.09722222222222222,0.10071942446043165,144.0
5,0.09375,0.08450704225352113,0.08888888888888889,142.0
6,0.09420289855072464,0.09219858156028368,0.0931899641577061,141.0
7,0.13664596273291926,0.1506849315068493,0.14332247557003258,146.0
8,0.0975609756097561,0.10457516339869281,0.10094637223974763,153.0
9,0.12878787878787878,0.11888111888111888,0.12363636363636364,143.0
10,0.0684931506849315,0.06711409395973154,0.06779661016949153,149.0
accuracy,0.1025,0.1025,0.1025,0.1025
macro avg,0.10256301492474021,0.10256664374510657,0.10242408059089718,1600.0
weighted avg,0.10240032112943247,0.1025,0.10230994448857082,1600.0
