trial,layer1,layer2,layer3,dropout1,dropout2,lr,batch_size,test_acc
1,256,0,32,0.2,0.0,0.001,32,0.148292675614357
2,64,64,16,0.2,0.0,0.001,64,0.12780487537384033
3,256,32,0,0.3,0.2,0.0001,32,0.1453658491373062
4,128,64,0,0.0,0.1,0.0001,64,0.13658536970615387
5,64,64,32,0.0,0.2,0.0005,32,0.13560976088047028
6,64,0,32,0.2,0.0,0.0001,64,0.148292675614357
7,64,32,32,0.3,0.0,0.0005,128,0.1463414579629898
8,256,64,16,0.0,0.0,0.0005,64,0.14439024031162262
9,128,64,32,0.2,0.0,0.001,32,0.12195122241973877
10,64,0,32,0.3,0.2,0.0005,32,0.13560976088047028
11,64,0,16,0.2,0.0,0.001,128,0.15024390816688538
12,128,0,16,0.3,0.2,0.001,64,0.15219512581825256
