,precision,recall,f1-score,support
0,0.047619047619047616,0.0070921985815602835,0.012345679012345678,141.0
1,0.2222222222222222,0.013888888888888888,0.026143790849673203,144.0
2,0.21568627450980393,0.07534246575342465,0.1116751269035533,146.0
3,0.09876543209876543,0.052980132450331126,0.06896551724137931,151.0
4,0.09395973154362416,0.09722222222222222,0.09556313993174062,144.0
5,0.08016877637130802,0.13380281690140844,0.10026385224274406,142.0
6,0.045454545454545456,0.0070921985815602835,0.012269938650306749,141.0
7,0.09495548961424333,0.4383561643835616,0.15609756097560976,146.0
8,0.06382978723404255,0.0784313725490196,0.07038123167155426,153.0
9,0.17857142857142858,0.06993006993006994,0.10050251256281408,143.0
10,0.08928571428571429,0.06711409395973154,0.07662835249042145,149.0
accuracy,0.095,0.095,0.095,0.095
macro avg,0.11186531359315867,0.09465932947288896,0.07553060932110386,1600.0
weighted avg,0.11181879073781432,0.095,0.07581280308658521,1600.0
